Brand,Types,Model,Transmission,Engine,Seater,Fuel_type,Price
Tata,Nexon,SUV,Manual,1497,5,Petrol,9.01
Tata,Nexon,SUV,Manual,1497,5,Petrol,10.06
Tata,Nexon,SUV,Manual,1497,5,Petrol,10.72
Tata,Nexon,SUV,Automatic,1497,5,Petrol,10.78
Tata,Nexon,SUV,Manual,1497,5,Petrol,11.16
Tata,Nexon,SUV,Manual,1497,5,Diesel,11.33
Tata,Nexon,SUV,Automatic,1497,5,Petrol,11.84
Tata,Nexon,SUV,Automatic,1497,5,Petrol,12.3
Tata,Nexon,SUV,Manual,1497,5,Petrol,12.35
Tata,Nexon,SUV,Manual,1497,5,Petrol,12.69
Tata,Nexon,SUV,Manual,1497,5,Diesel,12.74
Tata,Nexon,SUV,Automatic,1497,5,Petrol,13.09
Tata,Nexon,SUV,Manual,1497,5,Petrol,13.21
Tata,Nexon,SUV,Automatic,1497,5,Petrol,13.43
Tata,Nexon,SUV,Automatic,1497,5,Diesel,13.49
Tata,Nexon,SUV,Manual,1497,5,Diesel,13.49
Tata,Nexon,SUV,Manual,1497,5,Petrol,13.55
Tata,Nexon,SUV,Manual,1497,5,Petrol,13.6
Tata,Nexon,SUV,Automatic,1497,5,Petrol,13.94
Tata,Nexon,SUV,Manual,1497,5,Petrol,13.94
Tata,Nexon,SUV,Manual,1497,5,Petrol,14.17
Tata,Nexon,SUV,Automatic,1497,5,Diesel,14.19
Tata,Nexon,SUV,Manual,1497,5,Diesel,14.25
Tata,Nexon,SUV,Automatic,1497,5,Petrol,14.28
Tata,Nexon,SUV,Automatic,1497,5,Petrol,14.34
Tata,Nexon,SUV,Manual,1497,5,Petrol,14.4
Tata,Nexon,SUV,Manual,1497,5,Petrol,14.46
Tata,Nexon,SUV,Manual,1497,5,Diesel,14.59
Tata,Nexon,SUV,Automatic,1497,5,Petrol,14.68
Tata,Nexon,SUV,Automatic,1497,5,Petrol,14.91
Tata,Nexon,SUV,Automatic,1497,5,Diesel,15
Tata,Nexon,SUV,Manual,1497,5,Diesel,15.12
Tata,Nexon,SUV,Automatic,1497,5,Petrol,15.14
Tata,Nexon,SUV,Automatic,1497,5,Petrol,15.19
Tata,Nexon,SUV,Automatic,1497,5,Diesel,15.35
Tata,Nexon,SUV,Manual,1497,5,Diesel,15.47
Tata,Nexon,SUV,Manual,1497,5,Diesel,15.52
Tata,Nexon,SUV,Manual,1497,5,Diesel,15.87
Tata,Nexon,SUV,Manual,1497,5,Diesel,16.1
Tata,Nexon,SUV,Automatic,1497,5,Diesel,16.28
Tata,Nexon,SUV,Manual,1497,5,Diesel,16.34
